Year	Count	Cause	Size	
1995	5	Smoking	F	
1995	3	Smoking	G	
1996	2027	Arson/incendiarism	A	
1996	5651	Arson/incendiarism	B	
1996	2369	Arson/incendiarism	C	
1996	240	Arson/incendiarism	D	
1996	112	Arson/incendiarism	E	
1996	38	Arson/incendiarism	F	
1996	12	Arson/incendiarism	G	
1996	3560	Debris and open burning	A	
1996	10650	Debris and open burning	B	
1996	2567	Debris and open burning	C	
1996	180	Debris and open burning	D	
1996	54	Debris and open burning	E	
1996	18	Debris and open burning	F	
1996	10	Debris and open burning	G	
1996	144	Other causes	A	
1996	103	Other causes	B	
1996	5	Other causes	C	
1996	1	Other causes	D	
1996	0	Other causes	E	
1996	0	Other causes	F	
1996	0	Other causes	G	
1996	2100	Recreation and ceremony	A	
1996	1866	Recreation and ceremony	B	
1996	363	Recreation and ceremony	C	
1996	31	Recreation and ceremony	D	
1996	15	Recreation and ceremony	E	
1996	12	Recreation and ceremony	F	
1996	5	Recreation and ceremony	G	
1996	2165	Missing data/not specified/undetermined	A	
1996	2948	Missing data/not specified/undetermined	B	
1996	635	Missing data/not specified/undetermined	C	
1996	97	Missing data/not specified/undetermined	D	
1996	62	Missing data/not specified/undetermined	E	
1996	25	Missing data/not specified/undetermined	F	
1996	14	Missing data/not specified/undetermined	G	
1996	2255	Equipment and vehicle use	A	
1996	2994	Equipment and vehicle use	B	
1996	685	Equipment and vehicle use	C	
1996	118	Equipment and vehicle use	D	
1996	71	Equipment and vehicle use	E	
1996	37	Equipment and vehicle use	F	
1996	14	Equipment and vehicle use	G	
1996	145	Power generation/transmission/distribution	A	
1996	140	Power generation/transmission/distribution	B	
1996	37	Power generation/transmission/distribution	C	
1996	14	Power generation/transmission/distribution	D	
1996	12	Power generation/transmission/distribution	E	
1996	9	Power generation/transmission/distribution	F	
1996	4	Power generation/transmission/distribution	G	
1996	1177	Misuse of fire by a minor	A	
1996	1436	Misuse of fire by a minor	B	
1996	132	Misuse of fire by a minor	C	
1996	11	Misuse of fire by a minor	D	
1996	6	Misuse of fire by a minor	E	
1996	4	Misuse of fire by a minor	F	
1996	0	Misuse of fire by a minor	G	
1996	218	Fireworks	A	
1996	191	Fireworks	B	
1996	29	Fireworks	C	
1996	6	Fireworks	D	
1996	6	Fireworks	E	
1996	2	Fireworks	F	
1996	1	Fireworks	G	
1996	703	Railroad operations and maintenance	A	
1996	1656	Railroad operations and maintenance	B	
1996	473	Railroad operations and maintenance	C	
1996	55	Railroad operations and maintenance	D	
1996	21	Railroad operations and maintenance	E	
1996	4	Railroad operations and maintenance	F	
1996	2	Railroad operations and maintenance	G	
1996	5	Firearms and explosives use	A	
1996	2	Firearms and explosives use	B	
1996	0	Firearms and explosives use	C	
1996	0	Firearms and explosives use	D	
1996	0	Firearms and explosives use	E	
1996	0	Firearms and explosives use	F	
1996	0	Firearms and explosives use	G	
1996	1038	Smoking	A	
1996	1210	Smoking	B	
1996	213	Smoking	C	
1996	27	Smoking	D	
1996	13	Smoking	E	
1996	8	Smoking	F	
1996	1	Smoking	G	
1997	2262	Arson/incendiarism	A	
1997	6569	Arson/incendiarism	B	
1997	2256	Arson/incendiarism	C	
1997	195	Arson/incendiarism	D	
1997	40	Arson/incendiarism	E	
1997	10	Arson/incendiarism	F	
1997	3	Arson/incendiarism	G	
1997	3636	Debris and open burning	A	
1997	9517	Debris and open burning	B	
1997	1658	Debris and open burning	C	
1997	120	Debris and open burning	D	
1997	33	Debris and open burning	E	
1997	6	Debris and open burning	F	
1997	6	Debris and open burning	G	
1997	201	Other causes	A	
1997	74	Other causes	B	
1997	4	Other causes	C	
1997	1	Other causes	D	
1997	0	Other causes	E	
1997	0	Other causes	F	
1997	0	Other causes	G	
1997	1769	Recreation and ceremony	A	
1997	791	Recreation and ceremony	B	
1997	131	Recreation and ceremony	C	
1997	13	Recreation and ceremony	D	
1997	7	Recreation and ceremony	E	
1997	1	Recreation and ceremony	F	
1997	1	Recreation and ceremony	G	
1997	2552	Missing data/not specified/undetermined	A	
1997	4757	Missing data/not specified/undetermined	B	
1997	990	Missing data/not specified/undetermined	C	
1997	74	Missing data/not specified/undetermined	D	
1997	33	Missing data/not specified/undetermined	E	
1997	15	Missing data/not specified/undetermined	F	
1997	3	Missing data/not specified/undetermined	G	
1997	2287	Equipment and vehicle use	A	
1997	2870	Equipment and vehicle use	B	
1997	560	Equipment and vehicle use	C	
1997	65	Equipment and vehicle use	D	
1997	38	Equipment and vehicle use	E	
1997	7	Equipment and vehicle use	F	
1997	3	Equipment and vehicle use	G	
1997	175	Power generation/transmission/distribution	A	
1997	120	Power generation/transmission/distribution	B	
1997	21	Power generation/transmission/distribution	C	
1997	8	Power generation/transmission/distribution	D	
1997	2	Power generation/transmission/distribution	E	
1997	3	Power generation/transmission/distribution	F	
1997	2	Power generation/transmission/distribution	G	
1997	1209	Misuse of fire by a minor	A	
1997	1330	Misuse of fire by a minor	B	
1997	103	Misuse of fire by a minor	C	
1997	4	Misuse of fire by a minor	D	
1997	2	Misuse of fire by a minor	E	
1997	0	Misuse of fire by a minor	F	
1997	0	Misuse of fire by a minor	G	
1997	192	Fireworks	A	
